"","sub","98:02_high_valid","98:02_high_invalid","98:02_low_valid","98:02_low_invalid","94:06_high_valid","94:06_high_invalid","94:06_low_valid","94:06_low_invalid","90:10_high_valid","90:10_high_invalid","90:10_low_valid","90:10_low_invalid","80:20_high_valid","80:20_high_invalid","80:20_low_valid","80:20_low_invalid","60:40_high_valid","60:40_high_invalid","60:40_low_valid","60:40_low_invalid"
"1","301",0.982142857142857,1,0.970930232558139,0.714285714285714,0.963855421686747,1,0.946428571428571,0.8125,0.987096774193548,0.958333333333333,0.968152866242038,0.8,0.949640287769784,0.921052631578947,0.949640287769784,0.897435897435897,0.972972972972973,0.925373134328358,0.954545454545455,0.882352941176471
"2","302",0.949152542372881,0.5,0.926553672316384,0.375,0.949685534591195,0.866666666666667,0.893491124260355,0.714285714285714,0.993464052287582,0.772727272727273,0.873417721518987,0.636363636363636,1,0.735294117647059,0.845070422535211,0.72972972972973,0.990384615384615,0.917808219178082,0.857142857142857,0.63768115942029
"3","303",0.972826086956522,1,0.912568306010929,0.75,0.920454545454545,1,0.893258426966292,0.785714285714286,0.94578313253012,0.956521739130435,0.952941176470588,0.863636363636364,0.909677419354839,0.871794871794872,0.837662337662338,0.769230769230769,0.884955752212389,0.921052631578947,0.860869565217391,0.818181818181818
"4","304",0.975609756097561,1,0.994219653179191,0.714285714285714,0.987341772151899,1,0.986842105263158,0.923076923076923,0.986666666666667,0.904761904761905,0.975155279503106,0.95,0.976190476190476,0.944444444444444,0.964539007092199,0.878787878787879,0.990196078431373,0.955223880597015,1,0.970588235294118
"5","305",0.945945945945946,0.375,0.915343915343915,0.75,0.94413407821229,0.866666666666667,0.876404494382023,0.375,0.942196531791908,0.590909090909091,0.896551724137931,0.217391304347826,0.924528301886792,0.794871794871795,0.903225806451613,0.526315789473684,0.966101694915254,0.615384615384615,0.915966386554622,0.493506493506494
"6","306",0.968354430379747,0.714285714285714,0.881578947368421,0.714285714285714,0.985185185185185,0.636363636363636,0.912408759124088,0.857142857142857,0.953488372093023,0.842105263157895,0.877862595419847,0.583333333333333,0.96551724137931,0.709677419354839,0.901785714285714,0.580645161290323,0.962962962962963,0.769230769230769,0.855421686746988,0.714285714285714
"7","307",0.881944444444444,0.5,0.935714285714286,1,0.925925925925926,1,0.949640287769784,0.923076923076923,0.9375,0.647058823529412,0.945205479452055,0.777777777777778,0.94488188976378,1,0.908333333333333,0.928571428571429,0.90625,0.864406779661017,0.933333333333333,0.88135593220339
"8","308",0.96078431372549,0.5,0.943661971830986,0.6,0.967105263157895,0.6,0.986577181208054,0.75,0.948905109489051,0.625,0.961832061068702,0.636363636363636,0.959016393442623,0.482758620689655,0.928,0.535714285714286,0.916666666666667,0.551724137931034,0.976470588235294,0.436363636363636
"9","309",0.963503649635037,0.666666666666667,0.931506849315068,0.4,0.918367346938776,0.583333333333333,0.952380952380952,0.571428571428571,0.937984496124031,0.444444444444444,0.962406015037594,0.428571428571429,0.944444444444444,0.56,0.984848484848485,0.62962962962963,0.974025974025974,0.6,0.9375,0.440677966101695
"10","310",0.948717948717949,0.142857142857143,0.942675159235669,0.142857142857143,0.951048951048951,0.428571428571429,0.941558441558442,0.846153846153846,0.945578231292517,0.5,0.948387096774194,0.6875,0.957142857142857,0.580645161290323,0.935714285714286,0.696969696969697,0.957446808510638,0.754098360655738,0.914285714285714,0.576271186440678
